song,artist,url,lyrics,year
Don't Dream It's Over,Sixpence None the Richer,https://www.azlyrics.com/lyrics/sixpencenonethericher/dontdreamitsover.html,"There is freedom within, there is freedom without
Try to catch the deluge in a paper cup
There's a battle ahead, many battles are lost
But you'll never see the end of the road
While you're traveling with me

Hey now, hey now
Don't dream it's over
Hey now, hey now
When the world comes in
They come, they come
To build a wall between us
We know they won't win

Now I'm towing my car, there's a hole in the roof
My possessions are causing me suspicion but there's no proof
In the paper today tales of war and of waste
But you turn right over to the T.V. page

Hey now, hey now
Don't dream it's over
Hey now, hey now
When the world comes in
They come, they come
To build a wall between us
We know they won't win

Now I'm walking again to the beat of a drum
And I'm counting the steps to the door of your heart
Only shadows ahead barely clearing the roof
Get to know the feeling of liberation and relief

Hey now, hey now
Don't dream it's over
Hey now, hey now
When the world comes in
They come, they come
To build a wall between us
We know they won't win

Hey now, hey now
Don't dream it's over
Hey now, hey now
When the world comes in
Hey now, hey now
Don't dream it's over
Hey now, hey now
When the world comes in
Hey now, hey now
Don't dream it's over ...",2002
This Side,Nickel Creek,https://www.azlyrics.com/lyrics/nickelcreek/thisside.html,"One day you'll see her and you'll know what I mean.
Take her or leave her she will still be the same.
She'll not try to buy you with her time.
But nothing's the same, as you will see when she's gone.

It's foreign on this side,
And I'll not leave my home again.
There's no place to hide
And I'm nothing but scared.

You dream of colors that have never been made,
You imagine songs that have never been played.
They will try to buy you and your mind.
Only the curious have something to find.

It's foreign on this side,
And the truth is a bitter friend.
But reasons few have I to go back again.

Your first dawn blinded you, left you cursing the day.
Entrance is crucial and it's not without pain.
There's no path to follow, once you're here.
You'll climb up the slide and then you'll slide down the stairs.

It's foreign on this side,
But it feels like I'm home again.
There's no place to hide
But I don't think I'm scared.
(there's no place to hide)
(there's no place to hide)
But I don't think I'm scared.
(there's no place to hide)
But I don't think I'm scared...",2002
Saturday Sun,Nick Drake,https://www.azlyrics.com/lyrics/nickdrake/saturdaysun.html,"Saturday sun
Came early one morning
In a sky so clear and blue
Saturday sun
Came without warning
So no one knew what to do

Saturday sun
Brought people and faces
That didn't seem much
In their day
But when I remember
Those people and places
They were really too good
In their way
In their way
In their way
Saturday sun 
Won't come and see me today

Think about stories
With reason and rhyme
Circling through your brain
And think about people
In their season and time
Returning again and again
And again
And again
But Saturday's sun
Has turned to Sunday's rain

So Sunday sat
In the Saturday sun
And wept for a day gone by",1969
You Don't Own Me,Lesley Gore,https://www.azlyrics.com/lyrics/lesleygore/youdontownme.html,"You don't own me, I'm not just one of your many toys
You don't own me, don't say I can't go with other boys

And don't tell me what to do
And don't tell me what to say
And please when I go out with you
Don't put me on display, 'cause
You don't own me, don't try to change me in any way
You don't own me, don't tie me down 'cause I'd never stay

Oh, I don't tell you what to say
I don't tell you what to do
So just let me be myself
That's all I ask of you
I'm young and I love to be young
I'm free and I love to be free
To live my life the way I want
To say and do whatever I please

And don't tell me what to do
Oh... don't tell me what to say
And please, when I go out with you
Don't put me on display

I don't tell you what to say
Oh-h-h-h don't tell you what to do
So just let me be myself
That's all I ask of you
I'm young and I love to be young
I'm free and I love to be free
To live my life the way I want",1963
If You Have to Ask,Red Hot Chili Peppers,https://www.azlyrics.com/lyrics/redhotchilipeppers/ifyouhavetoask.html,"A wanna be gangster
Thinkin' he's a wise guy
Rob another bank
He's a sock 'em in the eye guy
Tank head
Mr. Bonnie and Clyde guy
Look him in the eye
He's not my kinda guy
Never be
Confusion proof
Pudding's sweet
But too aloof
Orange eye girl
With a backslide dew said
Yo homie
Who you talkin' to
A backed up paddywagon
Mackin' on a cat's ass
One upper cut
To the cold upper middle class
Born to storm
On boredom's face
Add a little lust
To the funky ass flea bass
Most in the race
Just lose their grace
The blackest hole
In all of space

Crooked as a hooker
Now suck my thumb
Anybody wanna come get some

[Chorus:]
If you have to ask
You'll never know
Funky motherfuckers
Will not be told to go

Don't ask me why
I'm flyin' so high
Mr. Bubble meets superfly
In my third eye
Searchin' for a soul bride
She's my freakette
Soak it up inside
Deeper than a secret
Much more
Than meets the eye
To the funk
I fall into my new ride
My hand my hand
Magic on the one
Is a medicine man
Thinkin' of a few
Taboos that I ought to kill
Dancin' on their face
Like a stage on vaudeville

I feel so good
Can't be understood
Booty of a hoodlum
Rockin' my red hood

[Chorus]",1991
Home,Zero 7,https://www.azlyrics.com/lyrics/zero7/home.html,"Lost in cheap delirium
Searching the neon lights
I move carefully
Sink in the city aquarium
Sing in the key of night
As they're watching me

Take me somewhere we can be alone
Make me somewhere I can call a home
'Cause lately I've been losing on my own

Wrapped in silent elegance
Beautifully broken down
As illusions burst
Too late to learn from experience
Too late to wonder how
To finish first

Take me somewhere we can be alone
Make me somewhere I can call a home
'Cause lately I've been losing on my own

Take me somewhere we can be alone
Make me somewhere I can call a home
Won't you take me home
Won't you take me home
'Cause lately I've been losing on my own
Won't you take me home",2004
Underneath It All,No Doubt,https://www.azlyrics.com/lyrics/nodoubt/underneathitall.html,"Hey, you don't have to forget
Just remember this Sunday, alright

There's times when I want something more
Someone more like me
There's times when this dress rehearsal
Seems incomplete
But, you see the colors in me like no one else
And behind your dark glasses you're
You're something else

You're really lovely
Underneath it all
You want to love me
Underneath it all
I'm really lucky
Underneath it all
You're really lovely

You know some real bad tricks
And you need some discipline
But, lately you've been trying real hard
And giving me your best
And, you give me the most gorgeous sleep
That I've ever had
And when it's really bad
I guess it's not that bad

You're really lovely
Underneath it all
You want to love me
Underneath it all
I'm really lucky
Underneath it all
You're really lovely

So many moons that we have seen
Stumbling back next to me
I've seen right through and underneath
And you make me better
I've seen right through and underneath
And you make me better
Better... better

[Lady Saw:]
For real
'Cause underneath it all
You are my real Prince Charming
Like the heat from the fire
You were always burnin'
Any time you're around
My body keeps calling
For your touch
Your kisses and your sweet romancin'
There's another side of you
And this a woman you adore
Aside from your temper
Everything else secure
Oh you're good for me, baby
Of that I'm sure
'Cause over and over again
Me want more

[Gwen:]
You've used up all your coupons
And all you've got left is me
And somehow I'm full of forgiveness
I guess it's meant to be

You're really lovely
Underneath it all
You want to love me
Underneath it all
I'm really lucky
Underneath it all
You're really lovely

You're really lovely
Underneath it all
You want to love me
Underneath it all
And I really love you
Underneath it all
And you're really lovely

Underneath it all
Underneath it all
Underneath it all
Underneath it all",2001
Should I Stay or Should I Go?,The Clash,https://www.azlyrics.com/lyrics/clash/shouldistayorshouldigo.html,"Darlin' you got to let me know
Should I stay or should I go?
If you say that you are mine
I'll be here 'til the end of time
So you got to let me know
Should I stay or should I go?

It's always tease tease tease
You're happy when I'm on my knees
One day is fine and next is black
So if you want me off your back
Well come on and let me know
Should I stay or should I go?

Should I stay or should I go now?
Should I stay or should I go now?
If I go there will be trouble
And if I stay it will be double
So come on and let me know

This indecision's buggin' me (esta indecisiÃ³n me molesta)
If you don't want me, set me free (Si no me quieres, librame)
Exactly whom I'm supposed to be (Dime! Â¿QuÃ© tengo ser?)
Don't you know which clothes even fit me? (No sabes que ropas me queda)
Come on and let me know (Pero tienes que decir)
Should I cool it or should I blow? (Â¿Me debo ir o quedarme?)

Split

(Doble! Â¿Me frÃ­o o lo soplo?)
(Esperda)
(Rrattarrattarrattaa...)

Should I stay or should I go now? (yo me enfrio o lo soplo)
Should I stay or should I go now? (Yo me enfrio o lo soplo)
If I go there will be trouble (Si me voy, va a haber peligro)
And if I stay it will be double (Si me quedo, es doble)
So you gotta let me know (Pero que tienes que decir)
Should I cool it or should I blow? (Â¿Me frÃ­o o lo soplo?)
Should I stay or should I go now? (Â¿Me frÃ­o o lo soplo?)
If I go there will be trouble (Si me voy, va a haber peligro)
And if I stay it will be double (Si me quedo, es doble)
So you gotta let me know (Pero que tienes que decir)
Should I stay or should I go",1982
Mr. Intentional,Lauryn Hill,https://www.azlyrics.com/lyrics/laurynhill/mrintentional.html,"Yeah, yeaaayh, yeah heh, yeah heh, yeah heh...
See the road to hell, is paved with good intentions
Can't you tell, the way they have to mention
How they helped you out, you're such a hopeless victim
Please don't do me any favors, Mr. Intentional
All their talk, is seasoned to perfection
The road they walk, commanding your affection
They need to be needed, deceived by motivation
An opportunity, to further situation
Why they so important, is without explanation
Please don't patrionize me, Mr. Intentional
Oh, ohhh, ohh ohhh
We give rise to ego, by being insecure
The advice that we go, desperatly searching for
The subconscious effort, to support our paramour
To engage in denial, to admit we're immature
Validating lies, Mr. Intentional
Open up yours eyes, Mr. Intentional
Stuck in a system, that seeks to suck your blood
Held emotionally hostage, by what everybody does
Counting all the money, that you give them just because
Exploiting ignorance, in the name of love
Stop before you drop because that's just the way it was
Please don't justify me, Mr. Intentional
Oh undementional, Mr. Intentional
Ohhh, oh don't you do me any favors
Ohhh, ohhhh, ohh ohhhh
Wake up you've been sleeping
Take up your bed and walk
Stop blaming other people
Oh it's nobody else's fault
Except the truth about you
You know that life goes on without you
And your expensive misinventions
Disguising your intentions
Don't worship my hurt feelings, Mr. Intentional
Oh, oh oh oh
See I know you can't help me, Mr. Intentional
The only help I need to live, is unprofessional
The only wealth I have to give, is not material
And if you need much more than that, I'm not available
Please don't entertain me, Mr. Intentional
Oh I dont need your sympthy, Mr. Intentional
Stay away from me, Mr. Intentional
So undementional, Mr. Promotional, Mr. Emotional, Mr. Intentional
Ohhh ohhhh, ohhhh",2002
Noah's Ark,CocoRosie,https://www.azlyrics.com/lyrics/cocorosie/noahsark.html,"Thank You God for this fine day
Bless all the children of the world
And thank You for the plants
And the animals
Bring me sweet dreams tonight
And help me be good tomorrow

Noah's ark came to my house one day
With all his animals
And he took me away

Noah's ark came to my house one day
With all his animals
And he took me away

Thank You God for this fine day
Bless all the children of the world
And thank You for the plants
And the animals
Bring me sweet dreams tonight
And help me be good tomorrow

Noah's ark came to my house one day
With all his animals
And he took me away

Noah's ark came to my house one day
With all his animals
And he took me away

Thank You God for this fine day
Bless all the children of the world
And thank You for the plants
And the animals
Bring me sweet dreams tonight
And help me be good tomorrow

Noah's ark came to my house one day
With all his animals
And he took me away

Noah's ark came to my house one day
With all his animals
And he took me away

Thank You for the plants
And the animals
Bring me sweet dreams tonight
And help me be good tomorrow

And help me be good tomorrow
Bring me sweet dreams tonight
And help me be good tomorrow",2005
