song,artist,url,lyrics,year
Crying,Roy Orbison,https://www.azlyrics.com/lyrics/royorbison/crying.html,"I was all right for awhile
I could smile for awhile
But I saw you last night
You held my hand so tight
As you stopped to say, ""Hello""

Oh, you wished me well
You, you couldn't tell
That I'd been crying over you
Crying over you

When you said, ""So long""
Left me standing all alone
Alone and crying, crying
Crying, crying

It's hard to understand
But the touch of your hand
Can start me crying

I thought that I was over you
But it's true, so true
I love you even more
Than I did before

But, darling, what can I do?
For you don't love me
And I'll always be crying over you
Crying over you

Yes, now you're gone
And from this moment on
I'll be crying, crying
Crying, crying
Yeah, crying, crying
Over you",1962
Ruled by Secrecy,Muse,https://www.azlyrics.com/lyrics/muse/ruledbysecrecy.html,"Repress and restrain
Steal the pressure and the pain
Wash the blood off your hands
This time she won't understand

Change in the air
And they'll hide everywhere
And no one knows who's in control 

You're working so hard
And you're never in charge
Your death creates success
Rebuild and suppress

Change in the air
And they'll hide everywhere
And no one knows who's in control 

Change in the air
And they'll hide everywhere
And no one knows who's in control",2003
Emotion,Destiny's Child,https://www.azlyrics.com/lyrics/destinyschild/emotion.html,"It's over and done
But the heartache lives on inside
And who is the one you're clinging to instead of me tonight?

And where are you now, now that I need you?
Tears on my pillow wherever you go go
I cry me a river that leads to your ocean
You never see me fall apart

In the words of a broken heart
It's just emotions taking me over
Caught up in sorrow
Lost in the song
But if you don't come back
Come home to me, darling
Don't you know there's nobody left in this world to hold me tight
Don't you know there's nobody left in this world to kiss goodnight
Goodnight, goodnight

I'm there at your side,
A part of all the things you are
But you've got a part of someone else
You've got to find your shining star

And where are you now, now that I need you?
Tears on my pillow wherever you go
I cry me a river that leads to your ocean
You never see me fall apart

In the words of a broken heart
It's just emotions taking me over, taking me over
Caught up in sorrow
Lost in the song
But if you don't come back
Come home to me, darling
Don't you know there's nobody left in this world to hold me tight
Nobody left in this world to hold me tight
Nobody left in this world to kiss goodnight
Nobody left in this world... goodnight

And where are you now, now that I need you, you?
Tears on my pillow wherever you, you go
I cry me a river that leads to your ocean
You never see me fall apart

In the words of a broken heart
It's just emotions taking me over
I'm caught up in sorrow
Lost in the song
Don't you know I'm lost without you, baby?
But if you don't come back
Come home to me, darling
Nobody left in this world, nobody, to hold me tight
Nobody to hold me
Nobody left in this world to kiss goodnight
Nobody to kiss me goodnight, goodnight",2001
In Loving Memory,Alter Bridge,https://www.azlyrics.com/lyrics/alterbridge/inlovingmemory.html,"Thanks for all you've done
I've missed you for so long
I can't believe you're gone
You still live in me
I feel you in the wind
You guide me constantly

I've never knew what it was to be alone, no
'Cause you were always there for me
You were always home waiting
And I'll come home and I miss your face so
Smiling down on me
I close my eyes to see

And I know, you're a part of me
And it's your song that sets me free
I sing it while I feel I can't hold on
I sing tonight 'cause it comforts me

I carry the things that remind me of you
In loving memory of
The one that was so true
You were as kind as you could be
And even though you're gone
You still mean the world to me

I've never knew what it was to be alone, no
'Cause you were always there for me
You were always home waiting
But now I come home and it's not the same, no
It feels empty and alone
I can't believe you're gone

And I know, you're a part of me
And it's your song that sets me free
I sing it while I feel I can't hold on
I sing tonight 'cause it comforts me

I'm glad He set you free from sorrow
I'll still love you more tomorrow
And you will be here with me still

And what you did you did with feeling
And you always found the meaning
And you always will
And you always will
And you always will

And I know, you're a part of me
And it's your song that sets me free
I sing it while I feel I can't hold on
I sing tonight 'cause it comforts me",2004
Mother,John Lennon,https://www.azlyrics.com/lyrics/johnlennon/mother.html,"Mother, you had me but I never had you
I wanted you, you didn't want me
So I, I just gotta tell you
Goodbye, goodbye

Father, you left me but I never left you
I needed you, you didn't need me
So I, I just gotta tell you
Goodbye, goodbye

Children, don't do what I have done
I couldn't walk and I tried to run
So I, I just gotta tell you
Goodbye, goodbye

[4x]
Mamma, don't go
Daddy, come home",1970
Why Do I Feel So Sad,Alicia Keys,https://www.azlyrics.com/lyrics/aliciakeys/whydoifeelsosad.html,"Friends we've been for so long
Now true colors are showing
Makes me wanna cry oh yes it does
Cuz I had to say goodbye

By now I should know
That in time things would change
So it shouldn't be so bad
So why do I feel so sad

How can I adjust
To the way that things are going
It's killing me slowly
Oh I just want it to be how it used to be

Cuz I wish that I could stay
But in time things must change
So it shouldn't be so bad
So why do I feel so sad

You cannot hide the way you feel inside I realize
Your actions speak much louder than words
So tell me why oh 

By now I should know that
That in time things would change
So it shouldn't be it shouldn't be so bad
So why do I feel so sad

By now I should know
That in time things must change
So it shouldn't be so bad
So why do I feel so sad

By now by now I should know
That in time things must grow
And I had to leave you behind
So why do I feel so sad
If it couldn't be that bad
Tell me why

By now I should know
That in time things would change
So it shouldn't be so bad
So why do I feel so sad

[Ad-lib to end]",2001
Mad World,Alex Parks,https://www.azlyrics.com/lyrics/alexparks/madworld.html,"All around me are familiar faces
Worn out places, worn out faces
Bright and early for their daily races
Going nowhere, going nowhere

And their tears are filling up their glasses
No expression, no expression
Hide my head I want to drown my sorrow
No tomorrow, no tomorrow

And I find it kind of funny
I find it kind of sad
The dreams in which I'm dying
Are the best I've ever had

I find it hard to tell you
'Cause I find it hard to take
When people run in circles
It's a very, very mad world
Mad world

Children waiting for the day they feel good
Happy Birthday, Happy Birthday
Made to feel the way that every child should
Sit and listen, sit and listen

Went to school and I was very nervous
No one knew me, no one knew me
Hello teacher tell me what's my lesson
Look right through me, look right through me

And I find it kind of funny
I find it kind of sad
The dreams in which I'm dying
Are the best I've ever had

I find it hard to tell you
'Cause I find it hard to take
When people run in circles
It's a very, very mad world
Mad world, mad world, mad world",2003
The World at Large,Modest Mouse,https://www.azlyrics.com/lyrics/modestmouse/theworldatlarge.html,"Ice-age heat wave, can't complain.
If the world's at large, why should I remain?
Walked away to another plan. 
Gonna find another place, maybe one I can stand. 
I move on to another day, 
to a whole new town with a whole new way. 
Went to the porch to have a thought. 
Got to the door and again, I couldn't stop. 
You don't know where and you don't know when. 
But you still got your words and you got your friends. 
Walk along to another day. 
Work a little harder, work another way. 

Well uh-uh baby I ain't got no plan. 
We'll float on maybe would you understand? 
Gonna float on maybe would you understand? 
Well float on maybe would you understand? 

The days get shorter and the nights get cold. 
I like the autumn but this place is getting old. 
I pack up my belongings and I head for the coast. 
It might not be a lot but I feel like I'm making the most. 
The days get longer and the nights smell green. 
I guess it's not surprising but it's spring and I should leave. 

I like songs about drifters - books about the same. 
They both seem to make me feel a little less insane. 
Walked on off to another spot. 
I still haven't gotten anywhere that I want. 
Did I want love? Did I need to know? 
Why does it always feel like I'm caught in an undertow? 

The moths beat themselves to death against the lights. 
Adding their breeze to the summer nights. 
Outside, water like air was great. 
I didn't know what I had that day. 
Walk a little farther to another plan. 
You said that you did, but you didn't understand. 

I know that starting over is not what life's about. 
But my thoughts were so loud I couldn't hear my mouth. 
My thoughts were so loud I couldn't hear my mouth. 
My thoughts were so loud.",2004
So Sorry,Feist,https://www.azlyrics.com/lyrics/feist/sosorry.html,"I'm sorry
Two words I always think
After you're gone
When I realize I was acting all wrong

So selfish
Two words that could describe
Oh actions of mine
When patience is in short supply

We don't need to say goodbye
We don't need to fight and cry
Oh we, we could hold each other tight tonight

We're so helpless
We're slaves to our impulses
We're afraid of our emotions
And no one knows where the shore is
We're divided by the ocean
And the only thing I know is
That the answer isn't for us
No the answer isn't for us

[Live Version:
Oh, I'm sorry
But I'm hanging up my hat
No, I just can't go on
Mmm, that's how I feel until I hear that song]

I'm sorry
Two words I always think
Oh after you're gone
When I realize I was acting all wrong

We don't need to say goodbye
We don't need to fight and cry
We, we could hold each other tight tonight
Tonight
Tonight
Tonight
Tonight...",2007
I Don't Love You,My Chemical Romance,https://www.azlyrics.com/lyrics/mychemicalromance/idontloveyou.html,"Well, when you go
So never think, I'll make you try to stay
And maybe when you get back
I'll be off to find another way

Well, after all this time that you still owe
You're still a good-for-nothing I don't know
So take your gloves and get out
Better get out
While you can

When you go
Would you even turn to say
""I don't love you
Like I did
Yesterday""

Sometimes I cry so hard from pleading
So sick and tired of all the needless beating
But baby when they knock you
Down and out
Is where you ought to stay

Well, after all the blood that you still owe
Another dollar's just another blow
So fix your eyes and get up
Better get up
While you can
Whoa, whoa

When you go
Would you even turn to say
""I don't love you
Like I did
Yesterday""

Well, come on, come on

When you go
Would you have the guts to say
""I don't love you
Like I loved you
Yesterday""

I don't love you
Like I loved you
Yesterday

I don't love you
Like I loved you
Yesterday",2006
Ice Water,Cat Power,https://www.azlyrics.com/lyrics/catpower/icewater.html,"Like I heard her backwards saying
""I can take one thousand showers
and never be clean""
Of course she lied awake

She is ten times heavier
Stronger, than you found the grave
Or ever was
He's got it down now

You know what I need
Who doesn't lie?
You know what I mean

If I'm ever in doubt you
Like you don't know
I am so, angry
I am so, at ease
I feel just like
Some great big disease

I think you need
Ice water
But the only thing that
You really hate
Is all its emptiness
I will swim
And I will drink myself to
Death

If I'm never in
Doubt of you
Like you don't know",1996
Under the Bridge,Red Hot Chili Peppers,https://www.azlyrics.com/lyrics/redhotchilipeppers/underthebridge.html,"Sometimes I feel
Like I don't have a partner
Sometimes I feel
Like my only friend
Is the city I live in
The city of angels
Lonely as I am
Together we cry

I drive on her streets
'Cause she's my companion
I walk through her hills
'Cause she knows who I am
She sees my good deeds
And she kisses me windy
I never worry
Now that is a lie

I don't ever wanna feel
Like I did that day
But take me to the place I love
Take me all the way
I don't ever wanna feel
Like I did that day
But take me to the place I love
Take me all the way

It's hard to believe
That there's nobody out there
It's hard to believe
That I'm all alone
At least I have her love
The city she loves me
Lonely as I am
Together we cry

I don't ever wanna feel
Like I did that day
But take me to the place I love
Take me all the way
I don't ever wanna feel
Like I did that day
But take me to the place I love
Take me all the way

Under the bridge downtown
Is where I drew some blood
Under the bridge downtown
I could not get enough
Under the bridge downtown
Forgot about my love
Under the bridge downtown
I gave my life away",1991
Glory Box,Portishead,https://www.azlyrics.com/lyrics/portishead/glorybox.html,"I'm so tired of playing
Playing with this bow and arrow
Gonna give my heart away
Leave it to the other girls to play
For I've been a temptress too long

Just...

Give me a reason to love you
Give me a reason to be a woman
I just wanna be a woman

From this time, unchained
We're all looking at a different picture
Through this new frame of mind
A thousand flowers could bloom
Move over and give us some room

Give me a reason to love you
Give me a reason to be a woman
I just wanna be a woman

So don't you stop being a man
Just take a little look from outside when you can
Sow a little tenderness
No matter if you cry

Give me a reason to love you
Give me a reason to be a woman
I just wanna be a woman
It's all I wanna be is all woman

For this is the beginning of forever and ever

It's time to move over
It's all I wanna be

I'm so tired of playing
Playing with this bow and arrow
Gonna give my heart away
Leave it to the other girls to play
For I've been a temptress too long

Just give me a reason to love you",1994
Existentialism On Prom Night,Straylight Run,https://www.azlyrics.com/lyrics/straylightrun/existentialismonpromnight.html,"When the sun came up,
We were sleeping in,
Sunk inside our blankets,
Sprawled across the bed,
And we were dreaming,

There are moments when,
When I know it and
The world revolves around us,
And we're keeping it,
Keep it all going,
This delicate balance,
Vulnerable all knowing,

Sing like you think no one's listening,
You would kill for this,
Just a little bit,
Just a little bit,
You would, kill for this

Sing like you think no one's listening,
You would kill for this,
Just a little bit,
Just a little bit,
You would, you would...

Sing me something soft,
Sad and delicate,
Or loud and out of key,
Sing me anything,
we're glad for what we've got,
Done with what we've lost
Our whole lives laid out right in front of us,

Sing like you think no one's listening,
You would kill for this,
Just a little bit,
Just a little bit,
You would,

Sing like you think no one's listening,
You would kill for this,
Just a little bit,
Just a little bit,
You would, you would....

Sing me something soft,
Sad and delicate,
Or loud and out of key,
Sing me anything.",2004
I Am a Rock,Simon & Garfunkel,https://www.azlyrics.com/lyrics/simongarfunkel/iamarock.html,"A winter's day
In a deep and dark December
I am alone
Gazing from my window
To the streets below
On a freshly fallen, silent shroud of snow
I am a rock
I am an island

I've built walls
A fortress, steep and mighty
That none may penetrate
I have no need of friendship
Friendship causes pain.
It's laughter and it's loving I disdain.
I am a rock
I am an island

Don't talk of love
Well, I've heard the words before
It's sleeping in my memory
And I won't disturb the slumber
Of feelings that have died
If I never loved, I never would have cried
I am a rock
I am an island

I have my books
And my poetry to protect me
I am shielded in my armor
Hiding in my room
Safe within my womb
I touch no one and no one touches me
I am a rock
I am an island

And a rock feels no pain
And an island never cries",1966
If You're Not the One,Daniel Bedingfield,https://www.azlyrics.com/lyrics/danielbedingfield/ifyourenottheone.html,"If you're not the one then why does my soul feel glad today?
If you're not the one then why does my hand fit yours this way?
If you are not mine then why does your heart return my call?
If you are not mine would I have the strength to stand at all?

I never know what the future brings
But I know you're here with me now
We'll make it through
And I hope you are the one I share my life with

I don't want to run away but I can't take it, I don't understand
If I'm not made for you then why does my heart tell me that I am?
Is there any way that I could stay in your arms?

If I don't need you then why am I crying on my bed?
If I don't need you then why does your name resound in my head?
If you're not for me then why does this distance maim my life?
If you're not for me then why do I dream of you as my wife?

I don't know why you're so far away
But I know that this much is true
We'll make it through
And I hope you are the one I share my life with
And I wish that you could be the one I die with
And I'm praying you're the one I build my home with
I hope I love you all my life

I don't want to run away but I can't take it, I don't understand
If I'm not made for you then why does my heart tell me that I am?
Is there any way that I could stay in your arms?

'Cause I miss you, body and soul so strong that it takes my breath away
And I breathe you into my heart and pray for the strength to stand today
'Cause I love you, whether it's wrong or right
And though I can't be with you tonight
You know my heart is by your side

I don't want to run away but I can't take it, I don't understand
If I'm not made for you then why does my heart tell me that I am?
Is there any way that I could stay in your arms?",2002
Time After Time,Cyndi Lauper,https://www.azlyrics.com/lyrics/cyndilauper/timeaftertime.html,"Lying in my bed, I hear the clock tick and think of you
Caught up in circles, confusion is nothing new
Flashback, warm nights almost left behind
Suitcases of memories, time after...

Sometimes you picture me, I'm walking too far ahead
You're calling to me, I can't hear what you've said
Then you say, ""Go slow"", I fall behind
The second hand unwinds

If you're lost, you can look and you will find me
Time after time
If you fall, I will catch you, I'll be waiting
Time after time

If you're lost, you can look and you will find me
Time after time
If you fall, I will catch you, I'll be waiting
Time after time

After my picture fades and darkness has turned to gray
Watching through windows, you're wondering if I'm OK
Secrets stolen from deep inside
The drum beats out of time

If you're lost, you can look and you will find me
Time after time
If you fall, I will catch you, I'll be waiting
Time after time

You said, ""Go slow"", I fall behind
The second hand unwinds

If you're lost, you can look and you will find me
Time after time
If you fall, I will catch you, I'll be waiting
Time after time

If you're lost, you can look and you will find me
Time after time
If you fall, I will catch you, I'll be waiting
Time after time

Time after time
Time after time
Time after time
Time after time
Time after time
Time after time
Time after
Time after",1983
Torn,Natalie Imbruglia,https://www.azlyrics.com/lyrics/natalieimbruglia/torn.html,"I thought I saw a man brought to life
He was warm, he came around like he was dignified
He showed me what it was to cry

Well, you couldn't be that man I adored
You don't seem to know
Seem to care what your heart is for
But I don't know him anymore

There's nothing where he used to lie
My conversation has run dry
That's what's going on
Nothing's fine, I'm torn

I'm all out of faith
This is how I feel
I'm cold and I am shamed
Lying naked on the floor

Illusion never changed
Into something real
I'm wide awake and I can see
The perfect sky is torn
You're a little late, I'm already torn

So I guess the fortune teller's right
I should have seen just what was there
And not some holy light

But you crawled beneath my veins
And now I don't care, I have no luck
I don't miss it all that much
There's just so many things
That I can't touch, I'm torn

I'm all out of faith
This is how I feel
I'm cold and I am shamed
Lying naked on the floor

Illusion never changed
Into something real
I'm wide awake and I can see
The perfect sky is torn
You're a little late, I'm already torn, torn

There's nothing where he used to lie
My inspiration has run dry
That's what's going on
Nothing's right, I'm torn

I'm all out of faith
This is how I feel
I'm cold and I am shamed
Lying naked on the floor

Illusion never changed
Into something real
I'm wide awake and I can see
The perfect sky is torn

I'm all out of faith
This is how I feel
I'm cold and I'm ashamed
Bound and broken on the floor
You're a little late, I'm already torn, torn",1998
