song,artist,url,lyrics,year,mood
Without You,Harry Nilsson,https://www.azlyrics.com/lyrics/harrynilsson/withoutyou.html,"No, I can't forget this evening
Or your face as you were leaving
But I guess that's just the way the story goes
You always smile but in your eyes your sorrow shows
Yes, it shows

No, I can't forget tomorrow
When I think of all my sorrow
When I had you there, but then I let you go
And now it's only fair that I should let you know
What you should know

I can't live if living is without you
I can't live, I can't give anymore
I can't live if living is without you
I can't give, I can't give anymore

Well, I can't forget this evening
Or your face as you were leaving
But I guess that's just the way the story goes
You always smile but in your eyes your sorrow shows
Yes, it shows

I can't live if living is without you
I can't live, I can't give anymore
I can't live if living is without you
I can't live, I can't give anymore
If living is without you",1971,sad
Down in a Hole,Alice in Chains,https://www.azlyrics.com/lyrics/aliceinchains/downinahole.html,"Bury me softly in this womb
I give this part of me for you
Sand rains down and here I sit
Holding rare flowers
In a tomb... in bloom

Down in a hole and I don't know if I can be saved
See my heart I decorate it like a grave
Oh, you don't understand who they thought I was supposed to be
Look at me now I'm a man who won't let himself be

Down in a hole, feeling so small
Down in a hole, losing my soul
I'd like to fly
But my wings have been so denied

Down in a hole and they've put all the stones in their place
I've eaten the sun so my tongue has been burned of the taste
I have been guilty of kicking myself in the teeth
I will speak no more of my feelings beneath

Down in a hole, feeling so small
Down in a hole, losing my soul
I'd like to fly
But my wings have been so denied

Bury me softly in this womb
Oh I want to be inside of you
I give this part of me for you
Oh I want to be inside of you
Sand rains down and here I sit
Holding rare flowers
Oh I want to be inside of you
In a tomb... in bloom
Oh I want to be inside...

Down in a hole, feeling so small
Down in a hole, losing my soul
Down in a hole, feeling so small
Down in a hole, out of control
I'd like to fly
But my wings have been so denied",1992,sad
Let It Be,The Beatles,https://www.azlyrics.com/lyrics/beatles/letitbe.html,"When I find myself in times of trouble
Mother Mary comes to me
Speaking words of wisdom
Let it be

And in my hour of darkness
She is standing right in front of me
Speaking words of wisdom
Let it be

Let it be, let it be, let it be, let it be
Whisper words of wisdom
Let it be

And when the broken-hearted people
Living in the world agree
There will be an answer
Let it be

For though they may be parted there is
Still a chance that they will see
There will be an answer
Let it be

Let it be, let it be, let it be, let it be
Yeah, there will be an answer
Let it be

Let it be, let it be, let it be, let it be
Whisper words of wisdom
Let it be

Let it be, let it be, let it be, let it be
Whisper words of wisdom
Let it be

And when the night is cloudy
There is still a light that shines on me
Shine until tomorrow
Let it be

I wake up to the sound of music
Mother Mary comes to me
Speaking words of wisdom
Let it be

Let it be, let it be, let it be, yeah, let it be
There will be an answer
Let it be

Let it be, let it be, let it be, yeah, let it be
There will be an answer
Let it be

Let it be, let it be, let it be, yeah, let it be
Whisper words of wisdom
Let it be",1970,sad
This Woman's Work,Kate Bush,https://www.azlyrics.com/lyrics/katebush/thiswomanswork.html,"Pray God you can cope.
I stand outside this woman's work,
This woman's world.
Ooh, it's hard on the man,
Now his part is over.
Now starts the craft of the father.

I know you have a little life in you yet.
I know you have a lot of strength left.
I know you have a little life in you yet.
I know you have a lot of strength left.

I should be crying, but I just can't let it show.
I should be hoping, but I can't stop thinking

Of all the things I should've said,
That I never said.
All the things we should've done,
That we never did.
All the things I should've given,
But I didn't.

Oh, darling, make it go,
Make it go away.

Give me these moments back.
Give them back to me.
Give me that little kiss.
Give me your hand.

(I know you have a little life in you yet.
I know you have a lot of strength left.
I know you have a little life in you yet.
I know you have a lot of strength left.)

I should be crying, but I just can't let it show.
I should be hoping, but I can't stop thinking

Of all the things we should've said,
That were never said.
All the things we should've done,
That we never did.
All the things that you needed from me.
All the things that you wanted for me.
All the things that I should've given,
But I didn't.

Oh, darling, make it go away.
Just make it go away now.",1989,sad
Who Wants to Live Forever,Queen,https://www.azlyrics.com/lyrics/queen/whowantstoliveforever.html,"There's no time for us.
There's no place for us.
What is this thing that builds our dreams, yet slips away from us?

Who wants to live forever?
Who wants to live forever?
There's no chance for us.
It's all decided for us.
This world has only one sweet moment set aside for us.

Who wants to live forever?
Who wants to live forever?

Who dares to love forever
When love must die?

But touch my tears with your lips,
Touch my world with your fingertips,

And we can have forever,
And we can love forever.
Forever is our today.

Who wants to live forever?
Who wants to live forever?
Forever is our today.

Who waits forever anyway?",1986,sad
Fast Car,Tracy Chapman,https://www.azlyrics.com/lyrics/tracychapman/fastcar.html,"You got a fast car
I want a ticket to anywhere
Maybe we make a deal
Maybe together we can get somewhere
Any place is better
Starting from zero got nothing to lose
Maybe we'll make something
Me myself I got nothing to prove

You got a fast car
I got a plan to get us out of here
I been working at the convenience store
Managed to save just a little bit of money
Won't have to drive too far
Just 'cross the border and into the city
You and I can both get jobs
And finally see what it means to be living

See my old man's got a problem
He live with the bottle that's the way it is
He says his body's too old for working
His body's too young to look like his
My mama went off and left him
She wanted more from life than he could give
I said somebody's got to take care of him
So I quit school and that's what I did

You got a fast car
Is it fast enough so we can fly away?
We gotta make a decision
Leave tonight or live and die this way

So remember when we were driving driving in your car
Speed so fast I felt like I was drunk
City lights lay out before us
And your arm felt nice wrapped 'round my shoulder
And I had a feeling that I belonged
I had a feeling I could be someone, be someone, be someone

You got a fast car
We go cruising, entertain ourselves
You still ain't got a job
And I work in a market as a checkout girl
I know things will get better
You'll find work and I'll get promoted
We'll move out of the shelter
Buy a bigger house and live in the suburbs

So remember when we were driving driving in your car
Speed so fast I felt like I was drunk
City lights lay out before us
And your arm felt nice wrapped 'round my shoulder
And I had a feeling that I belonged
I had a feeling I could be someone, be someone, be someone

You got a fast car
I got a job that pays all our bills
You stay out drinking late at the bar
See more of your friends than you do of your kids
I'd always hoped for better
Thought maybe together you and me would find it
I got no plans I ain't going nowhere
So take your fast car and keep on driving

So remember when we were driving driving in your car
Speed so fast I felt like I was drunk
City lights lay out before us
And your arm felt nice wrapped 'round my shoulder
And I had a feeling that I belonged
I had a feeling I could be someone, be someone, be someone

You got a fast car
Is it fast enough so you can fly away?
You gotta make a decision
Leave tonight or live and die this way",1988,sad
Roulette,System of a Down,https://www.azlyrics.com/lyrics/systemofadown/roulette.html,"I have a problem that I cannot explain,
I have no reason why it should have been so plain,
Have no questions but I sure have excuse,
I lack the reason why I should be so confused,

I know, how I feel when I'm around you,
I don't know, how I feel when I'm around you,
Around you,

Left a message but it ain't a bit of use,
I have some pictures, the wild might be the deuce,
Today you saw, you saw me, you explained,
Playing the show and running down the plane,

I know, how I feel when I'm around you,
I don't know, how I feel when I'm around you,
I, I know, how I feel when I'm around you,
I don't know, how I feel when I'm around you,
Around you, Around you, Around you...",2002,sad
Nutshell,Alice in Chains,https://www.azlyrics.com/lyrics/aliceinchains/nutshell.html,"We chase misprinted lies
We face the path of time
And yet I fight
And yet I fight
This battle all alone
No one to cry to
No place to call home

Oooh...Oooh...
Oooh...Oooh...

My gift of self is raped
My privacy is raked
And yet I find
And yet I find
Repeating in my head
If I can't be my own
I'd feel better dead

Oooh...Oooh...
Oooh...Oooh...",P:  ,sad
The Eternal,Joy Division,https://www.azlyrics.com/lyrics/joydivision/theeternal.html,"Procession moves on, the shouting is over,
Praise to the glory of loved ones now gone.
Talking aloud as they sit round their tables,
Scattering flowers washed down by the rain.
Stood by the gate at the foot of the garden,
Watching them pass like clouds in the sky,
Try to cry out in the heat of the moment,
Possessed  by a fury that burns from inside.

Cry like a child, though these years make me older,
With children my time is so wastefully spent,
A burden to keep, though their inner communion,
Accept like a curse an unlucky deal.
Played by the gate at the foot of the garden,
My view stretches out from the fence to the wall,
No words could explain, no actions determine,
Just watching the trees and the leaves as they fall.",1980,sad
All I Need,Radiohead,https://www.azlyrics.com/lyrics/radiohead/allineed.html,"I'm the next act
Waiting in the wings

I'm an animal
Trapped in your hot car

I am all of the days
That you choose to ignore

You are all I need
You are all I need
I'm in the middle of your picture
Lying in the reeds

I am a moth
Who just wants to share your light

I'm just an insect
Trying to get out of the night

I only stick with you
Because there are no others

You are all I need
You're all I need
I'm in the middle of your picture
Lying in the reeds

It's all wrong
It's alright
It's all wrong
It's alright",2007,sad
