song name,artist
The Gentle Rain,Mary Juane Clair
Si clair,Mary Juane Clair
Si clair et douce une eau tombait,Mary Juane Clair
Blue Moon,Mary Juane Clair
Body And Soul,Mary Juane Clair
Mad World,Gary Jules
Hurt,Johnny Cash
Breathe Me,Sia
My Immortal,Evanescence
Colorblind,Counting Crows
Goodbye My Lover,James Blunt
Hallelujah,Jeff Buckley
9 Crimes,Damien Rice
Everybody Hurts,R.E.M.
The Scientist,Coldplay
Hurt,Christina Aguilera
Hallelujah,Rufus Wainwright
Angel,Sarah McLachlan
Creep,Radiohead
Roads,Portishead
Tears in Heaven,Eric Clapton
Jar of Hearts,Christina Perri
No Surprises,Radiohead
St. Helens,June Madrona
Yesterday,The Beatles
Nicest Thing,Kate Nash
Fake Plastic Trees,Radiohead
Don't Speak,No Doubt
Brick,Ben Folds Five
Tale for a Sunken Moon,Samantha Bouquin
Lost Cause,Beck
Again,Archive
Everytime,Britney Spears
Run,Snow Patrol
Exit Music (for a Film),Radiohead
Almost Lover,A Fine Frenzy
Asleep,The Smiths
Hurt,Nine Inch Nails
Spiraling Into the Sun,Abandoned Toys
Fix You,Coldplay
Lay Down Your Arms,Flowers From the Man Who Shot Your Cousin
santa fe,June Madrona
Karma Police,Radiohead
Iris,Goo Goo Dolls
Five Views of Ranier,June Madrona
Hello,Evanescence
What Sarah Said,Death Cab for Cutie
The Blower's Daughter,Damien Rice
Untitled,Simple Plan
I Will Follow You Into The Dark,Death Cab for Cutie
How to Disappear Completely,Radiohead
I Do Not Love You Anymore,Flowers From the Man Who Shot Your Cousin
You're Beautiful,James Blunt
Childhood,Flowers From the Man Who Shot Your Cousin
Wish You Were Here,Pink Floyd
Delicate,Damien Rice
Lonely Day,System of a Down
Girls,Flowers From the Man Who Shot Your Cousin
Love Will Tear Us Apart,Joy Division
Unintended,Muse
How to Save a Life,The Fray
Something I Can Never Have,Nine Inch Nails
Street Spirit (Fade Out),Radiohead
Chasing Cars,Snow Patrol
Cancer,My Chemical Romance
I Miss You,blink-182
Dust in the Wind,Kansas
