song,artist,url,lyrics,year
I'm Yours,Jason Mraz,https://www.azlyrics.com/lyrics/jasonmraz/imyours.html,"Well, you done done me and you bet I felt it
I tried to be chill, but you're so hot that I melted
I fell right through the cracks
Now I'm trying to get back

Before the cool done run out
I'll be giving it my bestest
And nothing's gonna stop me but divine intervention.
I reckon, it's again my turn
To win some or learn some.

But I won't hesitate
No more, no more.
It cannot wait,
I'm yours.

Well, open up your mind and see like me,
Open up your plans and damn you're free.
Look into your heart and you'll find love, love, love, love.
Listen to the music of the moment, people dance and sing, we're just one big family
And it's our God-forsaken right to be loved, loved, loved, loved, loved

So I won't hesitate
No more, no more.
It cannot wait,
I'm sure.
There's no need to complicate.
Our time is short.
This is our fate,
I'm yours.

Do you want to come on, scooch on over closer, dear
And I will nibble your ear

I've been spending way too long checking my tongue in the mirror
And bending over backwards just to try to see it clearer
But my breath fogged up the glass
And so I drew a new face and I laughed.

I guess what I'll be saying is there ain't no better reason
To rid yourself of vanities and just go with the seasons.
It's what we aim to do.
Our name is our virtue.

But I won't hesitate
No more, no more.
It cannot wait,
I'm yours.

Well, open up your mind and see like me,
Open up your plans and damn you're free.
Look into your heart and you'll find that the sky is yours.
So please don't, please don't, please don't...
There's no need to complicate.
'Cause our time is short.
This oh, this oh, this is our fate.
I'm yours.

Oh, I'm yours
Oh, I'm yours
Oh, oh,
Baby, do you believe, I'm yours?
You best believe, you best believe, I'm yours.
[Live On Earth Single Video version doesn't have this ending contrary to the album version]",2008
Grace Kelly,Mika,https://www.azlyrics.com/lyrics/mika/gracekelly.html,"""I wanna talk to you.""
""The last time we talked, Mr. Smith, you reduced me to tears. I promise you it won't happen again.""

Do I attract you?
Do I repulse you with my queasy smile?
Am I too dirty?
Am I too flirty?
Do I like what you like?

I could be wholesome
I could be loathsome
I guess I'm a little bit shy
Why don't you like me?
Why don't you like me without making me try?

I tried to be like Grace Kelly
But all her looks were too sad
So I try a little Freddie
I've gone identity mad!

I could be brown
I could be blue
I could be violet sky
I could be hurtful
I could be purple
I could be anything you like
Gotta be green
Gotta be mean
Gotta be everything more
Why don't you like me?
Why don't you like me?
Why don't you walk out the door!

""Getting angry doesn't solve anything.""

How can I help it
How can I help it
How can I help what you think?
Hello my baby
Hello my baby
Putting my life on the brink
Why don't you like me
Why don't you like me
Why don't you like yourself?
Should I bend over?
Should I look older just to be put on your shelf?

I tried to be like Grace Kelly
But all her looks were too sad
So I try a little Freddie
I've gone identity mad!

I could be brown
I could be blue
I could be violet sky
I could be hurtful
I could be purple
I could be anything you like
Gotta be green
Gotta be mean
Gotta be everything more
Why don't you like me?
Why don't you like me?
Why don't you walk out the door!

Say what you want to satisfy yourself
But you only want what everybody else says you should want

[2x]
I could be brown
I could be blue
I could be violet sky
I could be hurtful
I could be purple
I could be anything you like
Gotta be green
Gotta be mean
Gotta be everything more
Why don't you like me?
Why don't you like me?
Walk out the door!

""Humphry! We're leaving.""
""Cha-ching!""",2007
Here Comes the Sun,The Beatles,https://www.azlyrics.com/lyrics/beatles/herecomesthesun.html,"Here comes the sun, here comes the sun
And I say it's all right

Little darling, it's been a long cold lonely winter
Little darling, it feels like years since it's been here

Here comes the sun, here comes the sun
And I say it's all right

Little darling, the smiles returning to the faces
Little darling, it seems like years since it's been here

Here comes the sun, here comes the sun
And I say it's all right

Sun, sun, sun, here it comes
Sun, sun, sun, here it comes
Sun, sun, sun, here it comes
Sun, sun, sun, here it comes
Sun, sun, sun, here it comes

Little darling, I feel that ice is slowly melting
Little darling, it seems like years since it's been clear

Here comes the sun, here comes the sun
And I say it's all right
Here comes the sun, here comes the sun
It's all right, it's all right",1969
5 Years Time,Noah and the Whale,https://www.azlyrics.com/lyrics/noahandthewhale/5yearstime.html,"Oh well in five years time we could be walking round a zoo
With the sun shining down over me and you
And there'll be love in the bodies of the elephants too
And I'll put my hands over your eyes, but you'll peep through

And there'll be sun sun sun all over our bodies
And sun sun sun all down our necks
And there'll be sun sun sun all over our faces
And sun sun sun - so what the heck!

Cos I'll be laughing at all your silly little jokes
And we'll be laughing about how we used to smoke
All those stupid little cigarettes and drink stupid wine
Cos it's what we needed to have a good time

And it was fun fun fun when we were drinking
It was fun fun fun when we were drunk
And it was fun fun fun when we were laughing
It was fun fun fun, oh it was fun

Oh well I'll look at you and say
It's the happiest that I've ever been
And I'll say I no longer feel I have to be James Dean
And she'll say
""Yah well I feel all pretty happy too""
And I'm always pretty happy when I'm just kicking back with you

And it'll be love love love all through our bodies
And love love love all through our minds
And it'll be love love love all over her face
And love love love all over mine

Although maybe all these moments are just in my head
I'll be thinking about them as I'm lying in bed
And I know that I believe, it might not even come true
But in my mind I'm havin' a pretty good time with you

In five years time I might not know you
In five years time we might not speak
In five years time we might not get along
In five years time you might just prove me wrong

Oh there'll be love love love
Wherever you go
There'll be love love love
Wherever you go
There'll be love love love
Wherever you go
There'll be love love love
Wherever you go
There'll be love love love

Wherever you go
There'll be love love love
Wherever you go
There'll be love love love
Wherever you go
There'll be love love love
Wherever you go
There'll be love",2008
Mr. Blue Sky,Electric Light Orchestra,https://www.azlyrics.com/lyrics/electriclightorchestra/mrbluesky.html,"Morning! Today's forecast calls for blue skies

Sun is shining in the sky
There ain't a cloud in sight
It's stopped raining
Everybody's in the play
And don't you know
It's a beautiful new day
Hey ay ay!

Runnin' down the avenue 
See how the sun shines brightly
In the city
On the streets where once was pity
Mr. Blue
Sky is living here today
Hey ay ay!

Mr. Blue Sky
Please tell us why
You had to hide away
For so long (so long)
Where did we go wrong?

Mr. Blue Sky
Please tell us why
You had to hide away
For so long (so long)
Where did we go wrong?

Hey you with the pretty face
Welcome to the human race
A celebration
Mr. Blue Sky's up there waitin'
And today
Is the day we've waited for
Ooorrr

Oh, Mr. Blue Sky
Please tell us why
You had to hide away
For so long (so long)
Where did we go wrong?

Hey there Mr. Blue
We're so pleased to be with you
Look around see what you do
Everybody smiles at you

Hey there Mr. Blue
We're so pleased to be with you
Look around see what you do
Everybody smiles at you

Mister Blue Sky!
Mister Blue Sky
Mister Blue Sky-yiy!

Mr. Blue you did it right
But soon comes Mr. Night
Creeping over
Now his hand is on your shoulder
Never mind
I'll remember you this
I'll remember you this way!

Mr. Blue Sky
Please tell us why
You had to hide away
For so long (so long)
Where did we go wrong?

Hey there Mr. Blue (Sky)
We're so pleased to be with you (Sky)
Look around see what you do (Blue)
Everybody smiles at you

[Instrumental]

[Choir singing]

[Robotic voice:]
Please. Turn. Me. Ov-er",1977
Mushaboom,Feist,https://www.azlyrics.com/lyrics/feist/mushaboom.html,"Helping the kids out of their coats
But wait the babies haven't been born
Unpacking the bags and setting up
And planting lilacs and buttercups

But in the meantime I've got it hard
Second floor living without a yard
It may be years until the day
My dreams will match up with my pay

Old dirt road
Knee deep snow
Watching the fire as we grow old

I got a man to stick it out
And make a home from a rented house
And we'll collect the moments one by one
I guess that's how the future's done

How many acres how much light
Tucked in the woods and out of sight
Talk to the neighbours and tip my cap
On a little road barely on the map

Old dirt road
Knee deep snow
Watching the fire as we grow old
Old dirt road
Rambling rose
Watching the fire as we grow well I'm sold",2004
Lollipop,Mika,https://www.azlyrics.com/lyrics/mika/lollipop.html,"Hey, what's the big idea?
Yo, Mika!

I said sucking too hard on your lollipop
Oh, love's gonna get you down
I said sucking too hard on your lollipop
Oh, love's gonna get you down

Sucking too hard on your lollipop
Oh, love's gonna get you down
Sucking too hard on your lollipop
Oh, love's gonna get you down

Say love, say love
Oh, love's gonna get you down
Say love, say love
Oh, love's gonna get you down.

I went walking with my momma one day
When she warned me what people say
""Live your life until love is found
'Cause love's gonna get you down.""

Take a look at the girl next door
She's a player and a downright bore
Jesus loves her, she wants more
Oh, bad girls get you down.

Sing it!

Sucking too hard on your lollipop
Oh, love's gonna get you down
Sucking too hard on your lollipop
Oh, love's gonna get you down

Say love, say love
Oh, love's gonna get you down.
Say love, say love
Oh, love's gonna get you down.

Mama told me what I should know
""Too much candy gonna rot your soul.
If she loves you let her go
'Cause love only gets you down.""

Take a look at a boy like me
Never stood on my own two feet
Now I'm blue as I can be
Oh, love come get me down.

Sing it!

Sucking too hard on your lollipop
Oh, love's gonna get you down
Sucking too hard on your lollipop
Oh, love's gonna get you down

Say love, say love
Oh, love's gonna get you down
Say love, say love
Oh, love's gonna get you down.

I went walking with my momma one day
When she warned me what people say
""Live your life until love is found
Or love's gonna get you down.""

Sing it!

Sucking too hard on your lollipop
Oh, love's gonna get you down
Sucking too hard on your lollipop
Oh, love's gonna get you down

Say love, say love
Oh, love's gonna get you down
Say love, say love
Oh, love's gonna get you down.

Mama told me what I should know
""Too much candy gonna rot your soul.
If she loves you let her go
'Cause love only gets you down.""

Waa-oh, waa-oh, waa-oh, lollipop
Waa-oh, waa-oh, waa-oh, lollipop

Sucking too hard on your lollipop
Oh, love's gonna get you down
Sucking too hard on your lollipop
Oh, love's gonna get you down

Lollipop",2007
LDN,Lily Allen,https://www.azlyrics.com/lyrics/lilyallen/ldn.html,"Riding through the city on my bike all day
Cause the filth took away my license
It doesn't get me down and I feel OK
Cause the sights that I'm seeing are priceless

Everything seems to look as it should
But I wonder what goes on behind doors
A fella looking dapper, but he's sitting with a slapper
Then I see it's a pimp and his crack whore

You might laugh you might frown
Walkin' round London town

[Chorus]
Sun is in the sky oh why oh why ?
Would I wanna be anywhere else
Sun is in the sky oh why oh why ?
Would I wanna be anywhere else

When you look with your eyes
Everything seems nice
But if you look twice
you can see it's all lies

There was a little old lady, who was walking down the road
She was struggling with bags from Tesco
There were people from the city having lunch in the park
I believe that it's called al fresco
Then a kid came along to offer a hand

But before she had time to accept it
hits her over the head, doesn't care if she's dead
Cause he's got all her jewelery and wallet

You might laugh you might frown
walking round London town

[Chorus]
Sun is in the sky oh why oh why?
Would I wanna be anywhere else
Sun is in the sky oh why oh why?
Would I wanna be anywhere else

When you look with your eyes
Everything seems nice
But if you look twice
you can see it's all lies

Life, yeah that's city life, yeah that's city life, yeah that's city life
Life, yeah that's city life, yeah that's city life, yeah that's city life

[Chorus x2]
Sun is in the sky oh why oh why?
Would I wanna be anywhere else
Sun is in the sky oh why oh why?
Would I wanna be anywhere else

[x2]
When you look with your eyes
Everything seems nice
But if you look twice
You can see it's all lies",2006
Don't Worry Be Happy,Bobby McFerrin,https://www.azlyrics.com/lyrics/bobbymcferrin/dontworrybehappy.html,"Here's a little song I wrote
You might want to sing it note for note
Don't worry, be happy
In every life we have some trouble
When you worry you make it double
Don't worry, be happy
Don't worry, be happy now

Ooh, ooh ooh ooh oo-ooh ooh oo-ooh ooh ooh oo-ooh
(Don't worry)
Ooh oo-ooh ooh ooh oo-ooh
(Be happy)
Ooh oo-ooh oo-ooh
(Don't worry, be happy)
Ooh, ooh ooh ooh oo-ooh ooh oo-ooh ooh ooh oo-ooh
(Don't worry)
Ooh oo-ooh ooh ooh oo-ooh
(Be happy)
Ooh oo-ooh oo-ooh
(Don't worry, be happy)

Ain't got no place to lay your head
Somebody came and took your bed
Don't worry, be happy
The land lord say your rent is late
He may have to litigate
Don't worry, be happy
(Look at me I'm happy)

Ooh, ooh ooh ooh oo-ooh ooh oo-ooh ooh ooh oo-ooh
(Don't worry)
Ooh oo-ooh ooh ooh oo-ooh
(Be Happy)
Ooh oo-ooh oo-ooh
Here I give you my phone number
When you worry call me, I make you happy
Ooh, ooh ooh ooh oo-ooh ooh oo-ooh ooh ooh oo-ooh
(Don't worry)
Ooh oo-ooh ooh ooh oo-ooh
(Be happy)
Ooh oo-ooh oo-ooh

Ain't got no cash, ain't got no style
Ain't got no gal to make you smile
But don't worry, be happy
'Cause when you worry your face will frown
And that will bring everybody down
So don't worry, be happy
Don't worry, be happy now

Ooh, ooh ooh ooh oo-ooh ooh oo-ooh ooh ooh oo-ooh
(Don't worry)
Ooh oo-ooh ooh ooh oo-ooh
(Be happy)
Ooh oo-ooh oo-ooh
Don't worry, be happy
Ooh, ooh ooh ooh oo-ooh ooh oo-ooh ooh ooh oo-ooh
(Don't worry)
Ooh oo-ooh ooh ooh oo-ooh
(Be happy)
Ooh oo-ooh oo-ooh
Don't worry, be happy

Now there, is this song I wrote
I hope you learned it note for note
Like good little children
Don't worry, be happy
Listen to what I say
In your life expect some trouble
When you worry you make it double
Don't worry, be happy, be happy now

Ooh, ooh ooh ooh oo-ooh ooh oo-ooh ooh ooh oo-ooh
(Don't worry)
Ooh oo-ooh ooh ooh oo-ooh
(Be happy)
Ooh oo-ooh oo-ooh
Don't worry, be happy
Ooh, ooh ooh ooh oo-ooh ooh oo-ooh ooh ooh oo-ooh
(Don't worry)
Ooh oo-ooh ooh ooh oo-ooh
(Be happy)
Ooh oo-ooh oo-ooh
Don't worry, be happy

Ooh, ooh ooh ooh oo-ooh ooh oo-ooh ooh ooh oo-ooh
(Don't worry)
Ooh oo-ooh ooh ooh oo-ooh
(Don't worry, don't worry, don't do it, be happy)
Ooh oo-ooh oo-ooh
(Put a smile on your face, don't bring everybody down)
Ooh, ooh ooh ooh oo-ooh ooh oo-ooh ooh ooh oo-ooh
(Don't worry)
Ooh oo-ooh ooh ooh oo-ooh
(It will soon pass, whatever it is)
Ooh oo-ooh oo-ooh
Don't worry, be happy
Ooh oo-ooh oo-ooh
I'm not worried, I'm happy",
Fascination,Alphabeat,https://www.azlyrics.com/lyrics/alphabeat/fascination.html,"Easy
Living,
Killed the young dudes,
In the high boots.
Teenage,
In the pace age,
That's when love burns,
Now it's your turn.

Fascination
Fascination
It's just the way we feel.

Fascination
Fascination
It's just the way we feel. (yeah)

We love this exaltation (woh oh, o-o-oh)
We want the new temptations (woh oh, o-o-oh)
It's like a revelation (woh oh, o-o-oh)
We live on fascination.

Passion,
Is our passion,
In the moonlight,
On a joyride.
Easy
Living,
Killed the young dudes,
In the high boots. (oh yeah)

Fascination
Fascination
It's just the way we feel. (come on)

We love this exaltation (woh oh, o-o-o-oh)
We want the new temptations (woh oh, o-o-o-oh)
It's like a revelation (woh oh, o-o-o-oh)
We live on fascination.

The word is on your lips - say the word
The word is on your lips - say the word
The word is on your lips - say the word
The word is on your lips - say the word
The word is on your lips - say the word
The word is on your lips - say the word
The word is on your lips - say the word
The word is on your lips - say the word
The word is on your lips - say the word
The word is on your lips - say the word
The word is on your lips - say the word
Fas-ci-na-tion!

We love this exaltation (woh oh, o-o-o-oh)
We want the new temptations (woh oh, o-o-o-oh)
It's like a revelation (woh oh, o-o-o-oh)
We live on fascination (o-oh).

Say the word now (fa-sci-nation)
Say the word
Come on say the word now (fa-sci-nation)
Come on (fa-sci-nation)",2007
