song,artist,url,lyrics,year
Kiss,Korn,https://www.azlyrics.com/lyrics/korn/kiss.html,"Some deny and search for things that never come around
Do I feel like a fool?
The places I have ran to all my life have disappeared
And I owe this all to you

I'm feeling like I'm sinking
And nothing's there to catch me, keep me breathing

What do I have to do?
Why can't this hurt be through?
I'm going head unto
Something I know I will fail
Why can't this kiss be true
Why won't you please let me through?
I don't understand why you always push me away

The last thing I would like to do before I go away
is cry there next to you (next to you)
Cry and talk about the good old days and where they've gone
And now how much I hate you

What do I have to do?
Why can't this hurt be through?
I'm going head unto
Something I know I will fail
Why can't this kiss be true
Why won't you please let me through?
I don't understand why you always push me away

I feel the blood drip off my body as it falls right there
on the ground
What am I now?

What am I now?
What am I now?

What do I have to do?
Why can't this hurt be through?
I'm going head unto
Something I know I will fail
Why can't this kiss be true
Why won't you please let me through?
I don't understand why you always push me away

Why you always push me away
Why you always push me away
Why you always push me away
Why you always push me away
Why you always push me away
Why you always push me away
Why you always push me away
Why you always push me away",2007
Cure For the Enemy,Billy Talent,https://www.azlyrics.com/lyrics/billytalent/curefortheenemy.html,"Time drifts through the sky
Without a reason why
We walk past the flowers
Don't stop for a breath
Until they're above our heads

We used to fight
Have we made amends?
Father I just can't tell
Watching you spend the time you have left
Trapped in a cold blue bed

In darkness we'll rest
Count the days down to one last breath
In darkness we'll rest
So forgive what you can't forget

We said that we would call
But we never spoke at all
The years drifted by
We've built up these walls
For reasons that seem so small
If this is the end, let's bury the past
This might be our one last chance
Together until the last grain of sand
Has dropped from the hourglass

So open your eyes
Open your eyes and don't forget to breathe
If we lose the fight
If we lose the fight your spirit will live through me
It's time we make right
It's time we make right the pages of history
Until we find
Until we find a cure for the enemy
All those you've loved
All those who've died
All we have left is what lives in our minds
All those you've loved
All those who've died
I know their spirits are up in the sky

All those you've loved
All those who've died
All we have left is what lives in our minds
All those you've loved
All those who've died
I know their spirits are up in the sky

So open your eyes
Open your eyes and don't forget to breath
If we lose the fight
If we lose the fight your spirit will live through me
It's time we make right
It's time we make right the pages of history
Until we find
Until we find a cure for the enemy

In darkness we'll rest
Count the days down to one last breath
In darkness we'll rest
So forgive what you can't forget

(In darkness we'll rest)
All those you've loved
(Count the days down to one last breath)
All those who've died
All we have left is what lives in our minds
(In darkness we'll rest)
All those you've loved
(So forgive what you can't forget)
All those who've died
I know their spirits are up in the sky

In darkness we'll rest",2012
Rainin' You,Brad Paisley,https://www.azlyrics.com/lyrics/bradpaisley/raininyou.html,"When I looked out today
And saw that the sky was gray
I thought about the way
You loved days like this

And driving in to town
It really started coming down
Bringing me back around
To all that I miss

It feels like it's rainin' you
It feels like it's rainin' you

I didn't even run inside
Or worry about staying dry
Besides there nowhere I can hide
These feeling now

Running down my face
Takes me to another place
I can't think of a better way to drown

It feels like it's rainin' you
I can't explain it
But I am baptized anew
It feels like it's rainin' you

If I had my way
It would do this every day
I would never see the sun
Because the closest I get
To holding you again
Is every time that sky opens up

It feels like it's rainin' you
I can't explain it
But I am baptized anew
It feels like it's rainin' you
It feels like it's rainin' you",2005
Who You'd Be Today,Kenny Chesney,https://www.azlyrics.com/lyrics/kennychesney/whoyoudbetoday.html,"Sunny days seem to hurt the most.
I wear the pain like a heavy coat.
I feel you everywhere I go.
I see your smile, I see your face,
I hear you laughin' in the rain.
I still can't believe you're gone.

It ain't fair: you died too young,
Like the story that had just begun,
But death tore the pages all away.
God knows how I miss you,
All the hell that I've been through,
Just knowin' no-one could take your place.
An' sometimes I wonder,
Who'd you be today?

Would you see the world? Would you chase your dreams?
Settle down with a family,
I wonder what would you name your babies?
Some days the sky's so blue,
I feel like I can talk to you,
An' I know it might sound crazy.

It ain't fair: you died too young,
Like the story that had just begun,
But death tore the pages all away.
God knows how I miss you,
All the hell that I've been through,
Just knowin' no-one could take your place.
An' sometimes I wonder,
Who you'd be today?

Today, today, today.
Today, today, today.

[Instrumental Break]

Sunny days seem to hurt the most.
I wear the pain like a heavy coat.
The only thing that gives me hope,
Is I know I'll see you again some day.

Some day, some day, some day.",2005
Looking In,Mariah Carey,https://www.azlyrics.com/lyrics/mariahcarey/lookingin.html,"You look at me and see the girl
Who lives inside the golden world
But don't believe
That's all there is to see
You'll never know the real me

She smiles through a thousand tears
And harbors adolescent fears
She dreams of all
That she can never be
She wades in insecurity
And hides herself inside of me

Don't say, ""She takes it all for granted""
I'm well aware of all I have
Don't think that I am disenchanted
Please understand

It seems as though I've always been
Somebody outside looking in
Well, here I am for all of them to bleed
But they can't take my heart from me
And they can't bring me to my knees
They'll never know the real me",1995
Homesick,The Cure,https://www.azlyrics.com/lyrics/cure/homesick.html,"Hey hey!
Just one more and I'll walk away
All the everything you win
Turns to nothing today
And I forget how to move
When my mouth is this dry
And my eyes are bursting hearts
In a blood-stained sky
Oh it was sweet
It was wild
And oh how we...
I trembled
Stuck in honey
Honey
Cling to me
So just one more
Just one more go
Inspire in me the desire in me
To never go home

Oh just one more
And I'll walk away
All the everything you win
Turns to nothing today
So just one more
Just one more go
Inspire in me the desire in me
To never go home",1989
My Precious,Lifehouse,https://www.azlyrics.com/lyrics/lifehouse/myprecious.html,"can't hold you down
can't hurry you up
there's nothing I can do
a slave to your hands
climb up above
your precious time
don't worry your time
don't hurry your mind
where did you go
where did you hide
all I can do
is watch you pass by
climb up above
your precious time
don't worry your time
don't hurry your mind
every time I try to take it back
I know I don't wanna live like that
I'll wait for tomorrow
too tired to go the other way
too late to wait another day
I'm going on
climb up above
your precious time
don't worry your time
don't hurry your mind
climb up above
your precious time
don't worry your time
don't hurry your mind",2003
I Miss My Sky (Amelia Earhart's Last Days),Heather Nova,https://www.azlyrics.com/lyrics/heathernova/imissmyskyameliaearhartslastdays.html,"I bury myself in the leaves to sleep
The sun so strong and rage so deep 
I keep waking to find I've been dreaming again
And the sound of the ocean is not a plane 
And far away they talk about me
In newspaper columns they write about me
round dinner tables and cocktail parties
I'm a heroine and a tragic figure
I'm a heroine as I'm lying here
Beneath my sky

And sometimes
Sometimes I cry
Sometimes
Sometimes I wonder
Why we're always coming down
And why we need to touch the ground
And why I didn't keep on heading
right on up to heaven
I miss my sky

Here from below the clouds are shadows
Not the golden mountains I used to fly through
Here from below the sky?s a painting 
In a child's room with the future waiting
But not for me

I look up at the birds flying overhead
My sentinel's true but the signals dead
It's been 500 days of hope and sorrow
500 nights with no tomorrow
And the poetry and the best of me
And the heart and the spirit and the sex of me
All fell into the azure sea
In the tailspin with the last of me
And my wings, and my song, all that I knew is dead and gone
I'm weak and tired but my will is strong
And my hope lives on, my hope lives onS

But sometimes
Sometimes I cry
Sometimes
Sometimes I wonder
Why we're always coming down
Why we need to touch the ground
Why I didn't keep on heading
Right on up to heaven
I miss my sky
I miss my sky",2005
Calm After the Storm,The Common Linnets,https://www.azlyrics.com/lyrics/commonlinnets/calmafterthestorm.html,"Driving in the fast lane
Counting mile marker signs
The empty seat beside me
Keeps you on my mind

Livin' in the heartache
Was never something I pursued
I can't keep on chasing
What I can't be for you

Ooh skies are black and blue
I'm thinking about you
Here in the calm after the storm

Tears on the highway
Water in my eyes
This rain ain't gonna change us
So what's the use to cry?

I could say I'm sorry
But I don't wanna lie
I just wanna know if staying
Is better than goodbye

Ooh skies are black and blue
I'm thinking about you
Here in the calm after the storm

Ooh after all that we've been through
There ain't nothing new
Here in the calm after the storm

Maybe I can find you
Down this broken line
Maybe you can find me
Guess we'll know in time

Ooh skies are black and blue
I'm thinking about you
Here in the calm after the storm

There ain't nothing new
Here in the calm after the storm",2014
Haru Haru,Big Bang,https://www.azlyrics.com/lyrics/bigbang/haruharu.html,"Tteonaga

Yeah
Finally I realize
That I'm nothing without you
I was so wrong, forgive me

Ah, ah, ah, ah
Ah ah ah ahh, ah, ah, ah, ah, ah

Padocheoreom buswojin nae mam
Baramcheoreom heundeullineun nae mam
Yeongicheoreom sarajin nae sarang
Munsincheoreom jiwojijiga anha
Hansumman ttangi kkeojira swijyo
Nae gaseumsogen meonjiman ssahijyo 
Say goodbye, yeah

Nega eobsin dan harudo mot salgeotman gatatdeon na
Saenggakgwaneun dareugedo geureokjeoreok honja jal sara
Bogosipdago bulleobwado neon amu daedabeobtjanha
Heotdoen gidae georeobwado ijen soyongeobtjanha

Ne yeope inneun geu sarami mwonji hoksi neol ullijin annneunji
Geudae naega boigin haneunji beolsseo ssak da ijeonneunji
Geokjeongdwae dagagagijocha mareul geol su jocha eobseo aetaeugo
Na hollo gin bameul jisaeujyo subaekbeon jiwonaejyo

Dorabojimalgo tteonagara
Tto nareul chatjimalgo saragara
Neoreul saranghaetgie huhoeeopgie
Johatdeon gieongman gajyeogara
Geureokjeoreok chamabolmanhae
Geureokjeoreok gyeondyeonaelmanhae
Neon geureolsurok haengbokhaeyadwae
Haru haru
Mudyeojyeogane

Oh, girl...
I cry, cry
You're my all
Say goodbye

Gireul geotda neowa na uri majuchindahaedo
Mot boncheok hagoseo geudaero gadeongil gajwo

Jakkuman yet saenggagi tteooreumyeon amado
Nado mollae geudael chajagaljido molla

Neon neul geu saramgwa haengbokhage neon neul naega dareun mam an meokge
Neon neul jageun miryeondo an namgekkeum jal jinaejwo na borandeusi

Neon neul jeo haneulgachi hayake tteun gureumgwado gachi saeparake
Neon neul geureoke useojwo amu il eopdeusi

Dorabojimalgo tteonagara
Tto nareul chatjimalgo saragara
Neoreul saranghaetgie huhoeeopgie
Johatdeon gieongman gajyeogara
Geureokjeoreok chamabolmanhae
Geureokjeoreok gyeondyeonaelmanhae
Neon geureolsurok haengbokhaeyadwae
Haru haru
Mudyeojyeogane

Nareul tteonaseo mam pyeonhaejigil (nareul itgoseo saragajwo)
Geu nunmureun da mareulteni, yeah (haruharu jinamyeon)

Charari mannaji anhatdeoramyeon deol apeultende, hmm
Yeongwonhi hamkkehajadeon geu yaksok ijen
Chueoge mudeodugil barae baby neol wihae gidohae

Dorabojimalgo tteonagara
Tto nareul chatjimalgo saragara
Neoreul saranghaetgie huhoeeopgie
Johatdeon gieongman gajyeogara
Geureokjeoreok chamabolmanhae
Geureokjeoreok gyeondyeonaelmanhae
Neon geureolsurok haengbokhaeyadwae
Haru haru
Mudyeojyeogane

Oh, girl
I cry, cry
You're my all
Say goodbye, bye
Oh, my love
Don't lie, lie
You're my heart
Say goodbye",P:  
